date,forecast,lower_bound,upper_bound,is_forecast,historical_end
2023-12-28,3.4637629345185097,2.094761096667395,4.778780356219664,False,False
2023-12-29,3.228451689601616,1.8770793169725102,4.500771878011557,False,False
2023-12-30,6.288297545868701,4.961583852643381,7.644033706803363,False,False
2023-12-31,5.845766201420725,4.538018798149936,7.1543317251874505,False,False
2024-01-01,3.2575335583914806,2.013417295747328,4.49420633053341,False,False
2024-01-02,3.8327518993890197,2.5120431188262304,5.169970006856269,False,False
2024-01-03,3.1515695719783676,1.8337084965757773,4.527522776934512,False,False
2024-01-04,3.501573695623013,2.1831634784049823,4.869722106310717,False,False
2024-01-05,3.2636388988494294,2.0610525599379415,4.681990404643086,False,False
2024-01-06,6.356727766529679,4.978275446243241,7.651723028430831,False,False
2024-01-07,5.909281986721487,4.578851579415948,7.18396537388545,False,False
2024-01-08,3.2928726632970045,1.9505606061741403,4.575438684751226,False,False
2024-01-09,3.8742668773826967,2.6216117555283907,5.180465374151822,False,False
2024-01-10,3.1856534891231068,1.8985087574411637,4.579141543686194,False,False
2024-01-11,3.5393844557153806,2.1741702894179697,4.8239473517619516,False,False
2024-01-12,3.2988261068107354,1.9714351095673084,4.573516787783625,False,False
2024-01-13,6.425157983998803,5.104671413908515,7.812705773046642,False,False
2024-01-14,5.972797769110082,4.6161772032801895,7.2738047604262945,False,False
2024-01-15,3.328211766698634,1.9511560135824444,4.618673894424591,False,False
2024-01-16,3.915781854136339,2.5095852872211424,5.1538039364909105,False,False
2024-01-17,3.219737405677204,1.9474940245060444,4.561993149479085,False,False
2024-01-18,3.577195215494143,2.2533725521749046,4.88635869998482,False,False
2024-01-19,3.334013314446806,1.9522774958751945,4.711008339296612,False,False
2024-01-20,6.493588200774757,5.172508600894142,7.796566169924078,False,False
2024-01-21,6.036313550173528,4.720432878360798,7.274725379072518,False,False
2024-01-22,3.3635508691908034,2.158742891699328,4.7229968151687665,False,False
2024-01-23,3.9572968294338913,2.6919284060915496,5.286542803038869,False,False
2024-01-24,3.253821320681372,1.861399891779882,4.498872402365282,False,False
2024-01-25,3.615005973364352,2.370897497718582,5.043875675479397,False,False
2024-01-26,3.369200520218149,2.050224142152288,4.771510483159848,False,False
2024-01-27,6.56201841374231,5.3123161086675905,7.707412262548134,False,False
2024-01-28,6.099829328103816,4.761586529298708,7.470155426704502,False,False
2024-01-29,3.3988899701040696,2.068159458165693,4.704839246155141,False,False
2024-01-30,3.9988118030481283,2.766840344123053,5.337743135233897,False,False
2024-01-31,3.2879052345316127,1.9571401771288222,4.619495212090866,False,False
2024-02-01,3.6528167299745866,2.2853640131559327,5.014447635980065,False,False
2024-02-02,3.40438772502032,2.0840911409970366,4.64893370151388,False,False
2024-02-03,6.630448625221923,5.305659736754967,7.877220611545676,False,False
2024-02-04,6.163345104753908,4.8563274355244745,7.52023371105174,False,False
2024-02-05,3.434229070284258,2.0877671707000944,4.775774822028094,False,False
2024-02-06,4.040326775794093,2.7281700625910728,5.287194814690071,False,False
2024-02-07,3.3219891477420203,2.020508709722869,4.665827870297822,False,False
2024-02-08,3.690627486222424,2.3636217420538252,4.990824913745208,False,False
2024-02-09,3.439574929704494,2.0523391872907197,4.716431827169117,False,False
2024-02-10,6.698878836840929,5.228654208879807,8.145998820477875,False,False
2024-02-11,6.2268608818211675,4.952227066984119,7.550803318502553,False,False
2024-02-12,3.4695681706625825,2.088518851074031,4.761046643635281,False,False
2024-02-13,4.081841748746314,2.7938338100421425,5.4687724410998095,False,False
2024-02-14,3.3560730608392615,2.124381649072458,4.70315085086369,False,False
2024-02-15,3.7284382418269155,2.4490779930319335,5.1274421335183025,False,False
2024-02-16,3.474762133317634,2.195503925331781,4.828590278345829,False,False
2024-02-17,6.7673090456219125,5.539510909966957,8.117234073955768,False,False
2024-02-18,6.290376655388494,5.005380913177147,7.676817922371723,False,False
2024-02-19,3.504907269070829,2.1222722369264537,4.866797434967958,False,False
2024-02-20,4.1233567193352405,2.906706261566343,5.456418862083536,False,False
2024-02-21,3.390156939362163,2.080695511234238,4.694979999471122,False,False
2024-02-22,3.7662489230133214,2.4823980323465125,5.142692916235205,False,False
2024-02-23,3.5099492341192002,2.2121797263827885,4.934672500840821,False,False
2024-02-24,6.835738988611901,5.38485551035944,8.142986974460538,False,False
2024-02-25,6.353892121551213,5.078042876204966,7.6994255642522065,False,False
2024-02-26,3.5402461624303814,2.292753680556711,4.81494227460847,False,False
2024-02-27,4.164871408817139,2.833292520907547,5.4764098044982585,False,False
2024-02-28,3.4242406195343147,2.063552965073057,4.73383834337589,False,False
2024-02-29,3.804059419782275,2.5516819839703144,5.079451815688814,False,False
2024-03-01,3.5451361964457746,2.227892998209287,4.8485334980028,False,False
2024-03-02,6.904168727716587,5.520100966556367,8.2094165654838,False,False
2024-03-03,6.41740745900908,5.0397442275970254,7.826588152509343,False,False
2024-03-04,3.575585017873316,2.3017685925332247,4.856763130762826,False,False
2024-03-05,4.206386093890031,2.9389216215548486,5.428303900539814,False,False
2024-03-06,3.4583242963341796,2.1387917785430366,4.701264803633279,False,False
2024-03-07,3.841869913681042,2.580290526566593,5.132159870541962,False,False
2024-03-08,3.580323156908277,2.2840732529490664,4.924480697572738,False,False
2024-03-09,6.972598464595624,5.63943197721694,8.333361386592397,False,False
2024-03-10,6.480922795623604,5.103785518520019,7.858295132398337,False,False
2024-03-11,3.6109238735344706,2.2260050527022037,4.973064812554955,False,False
2024-03-12,4.247900779746446,2.919013000868615,5.619157665703226,False,False
